flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
RT123993,241500,1985250,13987500
RT210929,14250,35250,679500
AR174097,120000,1556250,11439000
KJ124763,253500,2133000,14292750
XC39540,45000,500250,5107500
RT119018,269250,1300500,10558500
AR118046,747750,3065250,15859500
XC186966,42000,312000,3356250
KJ131386,342000,1415250,8870250
RT136039,83250,809250,7080000
AR114694,354750,1507500,7791000
RT203452,105000,1002000,6242250
VL156364,651000,2523000,14254500
VL34743,143250,715500,4866000
XC70423,15750,770250,8839500
ED65314,545250,1900500,11660250
AR215598,5250,67500,1221750
ED142400,214500,879750,6388500
FT1729,750,126000,2895750
AR45637,112500,479250,2346750
KJ132517,12750,400500,4360500
RT97853,7500,312750,4054500
XC44313,105750,591000,5598750
XC86962,22500,214500,5536500
RT20406,1500,42000,958500
VL35972,9750,375000,4410750
ED131743,30750,257250,2760750
FT104413,2250,111000,1432500
FT25444,152250,1500750,9795750
RY135041,129000,887250,5475750
XC136003,277500,1302750,6579000
KJ6395,130500,636750,5846250
RY211166,3000,344250,5328750
ED150933,3750,7500,2509500
VL94262,4500,9000,261750
AR168366,123000,690000,5094000
KJ98232,6000,205500,3211500
AR208526,51750,494250,4499250
FT112161,5250,85500,1728750
KJ184710,7500,131250,2103000
KJ217973,122250,659250,5815500
FT80017,127500,951000,6036750
RY4503,274500,1186500,6929250
VL71057,10500,242250,4446750
XC150074,8250,104250,918750
ED197877,93750,758250,6641250
KJ103822,128250,1001250,7362750
RY3029,1500,8250,700500
XC16183,272250,1104750,4491000
KJ138201,181500,1094250,6172500
XC200178,597000,2835000,14733000
RY195971,3000,214500,3224250
XC124218,166500,840750,7544250
XC34297,163500,902250,5155500
ED218705,4500,279000,2890500
VL132306,339000,1249500,6300000
ED129338,5250,528750,5292000
XC94311,20250,117000,2910750
ED144902,240750,844500,3774000
ED216917,83250,790500,5547000
FT170543,717750,2966250,12320250
RY80090,405000,1933500,10247250
ED177412,204000,1060500,5807250
KJ15432,315750,1944750,12436500
FT114097,690750,2559000,11699250
RY13099,8250,151500,2514750
VL192735,34500,177000,1809750
RY153496,1500,94500,1684500
VL146582,357000,1313250,6762750
AR7104,2250,4500,714000
RT103118,2250,38250,1519500
XC144653,142500,649500,3719250
ED64570,5250,40500,1323750
FT134755,118500,536250,3180750
VL13511,106500,1024500,8876250
XC36602,6000,167250,3172500
RY216137,18750,37500,1600500
FT89471,93750,431250,2795250
FT215880,705000,2658750,13017000
RY211910,8250,81000,1197000
RY54834,7500,30750,992250
AR199745,495750,1679250,6801750
FT205658,15750,85500,2083500
FT33241,8250,48000,2552250
RT205337,22500,102750,2272500
VL167042,8250,502500,5092500
AR48224,384000,1588500,8532000
VL167702,90750,752250,5097000
VL33674,540750,2094000,12006750
XC45076,355500,1773000,9650250
AR3640,376500,1324500,7717500
AR53125,8250,225000,4330500
RT194319,3750,47250,586500
RT92780,62250,338250,3036000
VL200144,60750,409500,3319500
ED204656,39000,846750,7125000
ED136032,50250,473250,4477500
RT151291,54000,424500,4089750
VL69094,165000,1198500,9779250
FT82098,6000,71250,1205250
VL139139,333750,1260750,7077000
AR1897,165750,1243500,9513000
FT76811,750,6750,1696500
RT119359,54000,364500,4450500
RY53309,7500,22500,833250
ED178393,1500,3000,102000
RT54117,1500,36750,864000
AR148982,2250,25500,1683000
ED29136,3000,42750,1329000
KJ5054,3000,43500,1280250
XC164037,96750,763500,5957250
XC77305,308250,1459500,9050250
FT47614,246000,1261500,6663750
KJ42194,627000,2793750,12402000
VL120,12750,141750,2943000
ED106806,5250,10500,483000
RT193814,150000,849000,5802000
KJ67623,105000,930000,6234000
RT173335,34500,142500,914250
VL59510,264000,1011000,4805250
VL73733,213000,1072500,5910000
KJ151120,750,1500,694500
VL67287,16500,425250,4160250
ED60874,23250,153750,2349000
XC65633,82500,671250,6124500
AR61980,11250,112500,2052000
FT186032,3000,6000,1571250
FT55603,3750,184500,2585250
VL178123,70500,333750,3747000
AR169050,8250,273750,2630250
FT1079,24750,537000,4954500
KJ128741,13500,222750,2824500
AR27408,153000,859500,5127000
ED218971,93000,275250,1635000
ED95978,30750,302250,3855750
FT145901,30750,556500,4509000
FT41025,8250,243750,2890500
KJ152555,273750,1135500,6264750
KJ201006,138000,592500,3648750
AR106332,1500,6000,191250
AR62827,89250,549000,4461000
KJ114853,429000,1408500,6104250
RY136163,217500,1378500,8331750
AR49648,171750,930750,6697500
AR133846,284250,1238250,6532500
AR91528,124500,425250,3866250
VL106357,43500,381750,2628750
XC35000,61500,447000,5038500
AR106832,4500,147750,1714500
RY63007,74250,426750,3216750
RT100698,143250,803250,4604250
FT72023,6750,89250,1209750
RT109381,20250,345750,4178250
RT200379,9750,105000,1406250
VL85741,52500,591750,4104750
ED165392,3750,36750,958500
FT181287,750,9750,1350750
KJ21936,93000,676500,5054250
AR27086,213000,582750,2378250
KJ115168,7500,15000,553500
VL22356,7500,93750,1442250
AR28979,30000,180750,1623000
ED34931,235500,1080000,7197750
RY42311,10500,21000,498000
XC13821,108750,644250,3775500
RT127641,1500,114000,1145250
RY83210,84750,340500,2716500
AR145908,153750,1025250,6869250
FT36870,64500,581250,3401250
XC119182,2250,67500,1497750
FT156044,3750,168750,2725500
FT53720,165000,1066500,7807500
RY136105,3000,66750,1599750
RY46823,48750,405000,3027000
AR134929,64500,729000,4245000
ED207099,3750,142500,1501500
KJ121119,24750,182250,1959000
RY42129,8250,16500,194250
FT26058,187500,847500,4158000
RT160645,6750,107250,2193750
XC157447,311250,1241250,6915000
RT34538,48750,370500,2914500
ED42587,26250,448500,3366000
RT41016,45000,423750,5057250
RY73408,18750,134250,1473000
VL199114,15750,187500,1641000
KJ209805,100500,415500,2624250
RY15592,90750,621750,4936500
XC54053,8250,183750,2127000
AR96158,165750,816750,4382250
RT116946,1500,234000,2763750
RY78862,69000,421500,3335250
XC213805,136500,389250,1816500
ED131028,171000,940500,5270250
RY190076,22500,302250,2023500
AR36945,44250,165750,957000
RY20814,4500,9000,493500
AR129992,45000,226500,1888500
RT25155,106500,388500,2667750
ED65342,132750,860250,5348250
RY180526,75750,771750,4210500
VL113228,94500,572250,3595500
RY207955,182250,731250,3806250
VL64211,285750,1032000,5448750
RY104547,35250,223500,2328750
VL137613,1500,3000,6000
KJ147146,2250,6000,597000
XC18688,225750,636750,3306000
RY196134,9000,45000,561750
KJ1987,28500,132750,1329750
RT115883,64500,450750,3486000
XC129088,15750,35250,605250
AR59272,5250,114750,1362750
XC107069,68250,287250,1398750
RY157737,60750,206250,1134000
RY73678,150750,924000,4845750
XC160331,6000,141750,2946750
RY40655,6750,13500,73500
RT50863,120750,646500,3171750
RY45189,111000,712500,3936750
FT95811,176250,778500,3705750
XC145407,7500,18000,239250
KJ166613,298500,1030500,4738500
AR149172,1500,168000,1499250
AR167062,3000,6000,634500
FT52363,576000,2530500,11835750
RY56441,3750,516750,4801500
VL69081,198750,1231500,7260750
XC196670,80250,1224750,9918000
RY84801,19500,269250,7521000
AR182126,243000,1488000,7620000
AR218425,268500,1109250,7929000
KJ83588,618750,2728500,15333750
RY168488,58500,761250,7283250
ED112790,308250,1336500,8520000
ED198318,356250,1905750,10382250
RY18525,6750,181500,2774250
AR148512,38250,588750,6915000
FT163534,6750,144750,3608250
RT174366,750,372750,3936000
ED174257,409500,2847000,17280750
FT177568,149250,498750,4636500
XC203505,12750,163500,4063500
AR12956,1500,70500,3040500
RT156410,30750,342750,4749750
RY24439,60000,922500,6731250
XC55703,1500,86250,3611250
KJ51858,2250,130500,2745750
VL215838,204000,1515750,10261500
RY195775,3000,6000,477000
VL188944,547500,2439750,12162000
AR148114,4500,49500,2849250
XC163624,42750,336000,2117250
RT39097,202500,1623000,10471500
XC17478,183000,1239750,8115750
KJ49351,321000,1604250,9032250
RT165620,6750,13500,1554750
VL74973,54750,718500,7181250
FT3834,750,1500,1841250
RT186900,321750,1576500,11446500
XC144682,2250,77250,1410000
RY177196,173250,762000,8003250
VL85407,7500,15000,462750
AR22845,12000,86250,2273250
RT116796,99750,1760250,11762250
KJ584,120000,642750,4512750
RY122872,1500,97500,2516250
RY155831,333000,1404000,7344750
ED90025,313500,1630500,10524000
RT119851,3000,451500,4467000
AR205382,195750,1697250,9713250
RY44655,3750,20250,1145250
ED106753,5250,228750,2941500
XC218346,5250,10500,1856250
RY91409,7500,15000,639000
ED78688,120750,824250,5937750
AR43933,366000,1519500,8740500
AR68049,120750,946500,6678000
FT48458,320250,1158750,7137000
AR81323,2250,77250,1874250
ED106605,79500,1297500,10395000
RY126510,342750,1380750,6644250
KJ158781,232500,984000,4875750
XC66250,87750,408000,2064000
AR129441,381750,1962000,10783500
FT190638,148500,1418250,9761250
RT142177,237000,914250,4366500
VL44967,21000,204750,2277750
ED28821,74250,321750,3495000
VL169074,164250,698250,5531250
RT186679,345750,1218000,6717750
RY215020,71250,484500,3885750
XC144382,2250,69750,1033500
XC178380,258750,1511250,11320500
AR132642,291000,1044000,6021000
RT83978,24750,308250,2646000
ED46520,135750,783000,6649500
XC54836,5250,424500,3855750
ED57641,5250,38250,1491750
KJ19265,78750,507000,4539750
FT149820,6000,115500,2521500
RY58845,7500,75750,1597500
VL174838,132000,843000,6504000
XC47202,53250,414750,3647250
ED1525,18000,203250,2865750
RT209149,417000,1560000,8255250
XC123460,6750,255750,3611250
XC110070,6750,18000,391500
VL20869,391500,1611000,8805750
VL215417,8250,201750,2525250
AR43080,8250,444750,5750250
ED188586,6000,410250,3858750
KJ199604,18750,401250,5004750
RT67012,58500,638250,5741250
RY143449,3750,51750,2442000
VL156763,234750,1712250,9970500
RT148432,60000,441000,3296250
VL213200,60000,405000,2360250
AR15122,45750,270000,3309750
AR199343,423000,1640250,7473750
FT331,162750,1092000,7074750
FT65524,51000,998250,7003500
RY67010,141000,772500,5417250
XC76083,267750,987750,5549250
AR177018,750,31500,1372500
AR214167,441750,1523250,6866250
RT164316,72000,1028250,10081500
KJ150009,105000,507000,2731500
RT149095,238500,1059750,6492000
XC48502,122250,926250,7810500
ED85834,8250,22500,493500
RY23864,39000,1010250,8111250
RY6212,15750,167250,2960250
RT74660,1500,54000,1940250
RY124452,73500,1006500,7448250
AR198320,69000,718500,5858250
RT103740,3000,111000,1970250
RY94329,3000,77250,3045000
XC208572,111750,489000,2520000
XC35175,95250,409500,3033750
FT93721,3750,163500,1745250
RT125658,30750,553500,3938250
RY29835,3750,7500,881250
XC132831,439500,1705500,8321250
AR202606,252000,1170000,7247250
XC60237,333750,1423500,7732500
KJ163637,7500,247500,4844250
KJ174567,127500,684750,4711500
RT150977,35250,379500,4777500
RT208886,218250,987000,6405000
KJ110123,167250,1166250,7185750
KJ2524,6750,174750,1848000
KJ6169,654750,2454000,10752750
AR192713,8250,186000,2766000
ED42385,12000,199500,2448000
RT26542,750,1500,72000
VL92749,316500,1357500,6919500
ED153033,26250,121500,3936750
FT205124,17250,507750,4604250
KJ22871,304500,1608750,8083500
RT98813,207750,596250,2970750
RY103270,98250,577500,3326250
VL126697,7500,21750,789750
RT195863,44250,131250,2144250
VL208751,220500,1206000,6949500
FT136881,59250,258750,1644750
RY92934,155250,867000,5930250
XC148517,186750,657750,3081000
KJ177267,3000,13500,3147750
AR71441,321000,1152750,6616500
KJ200647,171000,1433250,9927750
VL130304,3750,162750,2458500
AR135423,5250,10500,100500
ED178387,12000,175500,2311500
FT119526,34500,96000,1459500
KJ189596,178500,617250,4056000
KJ23326,342750,1455000,6259500
XC217236,31500,555000,4066500
ED186861,210000,1349250,7221000
FT67959,96750,728250,5149500
VL86686,177750,1175250,6483750
XC20593,23250,172500,3025500
ED130152,282750,1182000,6901500
FT148582,4500,478500,4229250
FT50033,51750,779250,4961250
RY17647,4500,9000,338250
RY197276,132750,559500,4494000
ED814,436500,1915500,8751000
FT110337,12750,177000,2501250
VL165551,490500,1710750,8214750
ED83671,6750,279000,2962500
RT164961,240750,1001250,5785500
VL38254,162750,982500,6532500
VL68093,233250,873750,5103750
VL76188,99000,481500,4754250
RT187778,7500,107250,1236750
XC89103,230250,952500,4821750
AR26365,185250,625500,3042000
FT186332,68250,356250,3022500
FT28831,1500,3000,33000
XC56114,66750,492000,3948750
RT166864,297750,1171500,5761500
XC161220,3000,6000,895500
ED58289,795000,2756250,9765000
AR114756,4500,9000,131250
VL165755,183000,843000,5183250
KJ193332,114750,687000,4291500
XC119260,5250,90750,1199250
RT90609,148500,546750,3403500
XC57356,6000,469500,4026000
AR109064,6750,25500,2424750
ED83143,6750,90750,1779000
RT160864,12000,129000,2013000
VL209610,91500,744750,4118250
XC187213,6750,294000,3279750
RT153107,228000,1002000,5009250
RT196397,328500,1050750,5306250
VL67339,284250,1125000,6030750
ED207393,7500,15000,794250
RT33024,207750,1214250,7422750
XC185829,87750,367500,2014500
FT118669,12000,141750,1947000
FT76033,32250,350250,3274500
XC21633,191250,825750,4698000
ED59195,54750,240750,1976250
KJ80004,48750,529500,4484250
RY149787,1500,6000,419250
RY96148,13500,206250,2209500
VL122304,150000,624750,3381000
KJ159889,108750,730500,4201500
RT30896,50250,307500,1836000
RY161333,3000,25500,789000
AR83038,185250,533250,2110500
ED67805,92250,596250,4410000
VL35418,3750,7500,1637250
KJ178627,108750,538500,3733500
ED23201,6000,12000,290250
ED60908,471000,1761000,8841750
XC115050,252000,819000,3315000
RT108219,11250,270750,2895000
VL166789,44250,354750,2870250
XC60627,113250,360750,2176500
RY140527,446250,1626750,6438000
ED137018,378000,1411500,5946000
XC37316,48750,708000,4689000
FT160726,58500,162000,775500
FT75644,11250,327750,2943750
VL151372,82500,490500,3445500
FT83307,372750,1536750,6640500
XC216905,6000,85500,1726500
AR176479,21000,258000,2041500
ED118915,6750,13500,234000
RY17057,6750,216750,2079750
VL6372,54000,352500,3208500
ED50804,126750,720750,4710000
RT86526,8250,147750,1820250
RY39094,8250,20250,517500
FT79889,4500,79500,1129500
RY190031,51000,430500,2471250
RY59016,180000,626250,3453750
ED175317,180000,751500,3310500
RT197088,141000,926250,6000750
VL142543,93750,480000,3351000
XC120544,45000,289500,2303250
XC91079,2250,112500,1429500
XC172999,85500,240000,1417500
XC210966,71250,326250,2352750
XC12559,16500,197250,3088500
AR141387,4500,11250,495000
ED147681,4500,179250,1581750
ED104298,64500,294750,1730250
FT169277,64500,353250,2646750
KJ106601,167250,758250,4422750
VL3079,62250,346500,1650750
FT46945,6750,21750,261750
KJ151796,10500,179250,1498500
AR3722,750,89250,1092000
ED95278,50250,525750,4329750
RT208596,34500,120750,842250
RY173959,195000,1140750,5382000
RY178897,37500,212250,1397250
RY46927,33000,204000,1405500
ED99103,714750,2351250,12996000
KJ63686,357750,1631250,8100750
XC42542,495000,2437500,12852000
XC55548,69750,727500,7697250
AR151592,377250,1815000,11821500
RY69642,176250,884250,6689250
ED22361,208500,1443750,12228000
ED3715,420000,2244750,11416500
FT16005,249750,1748250,9675000
VL115484,5250,394500,4417500
VL99506,6000,248250,2518500
RY261,652500,2436750,10413750
VL209879,368250,1354500,5627250
FT70682,197250,1084500,7242000
VL130163,36000,127500,2301000
VL37905,390000,1769250,10442250
RY209376,1500,3000,1039500
RT117840,156750,1086000,8616750
VL64259,24750,359250,4417500
AR85969,6750,460500,3758250
VL114979,190500,958500,5033250
XC53660,6750,474000,6543750
KJ158554,5250,10500,60750
KJ63342,7500,360000,4515000
ED32568,35250,676500,4870500
FT44289,6000,18750,426000
KJ162825,6750,148500,2775750
ED77913,750,315000,3959250
XC164949,750,1500,159000
VL130998,336750,1642500,10287000
XC92141,395250,1650750,8559000
KJ208489,567000,2681250,15378750
ED93508,243000,887250,3995250
AR19510,244500,732000,3772500
FT158503,239250,1047000,5367000
FT61480,3750,39750,2150250
KJ100415,24000,271500,3512250
KJ2595,4500,325500,4658250
RT130652,4500,55500,1242750
ED216329,167250,667500,4260000
KJ208902,5250,457500,4733250
RT63916,313500,1416000,6709500
FT140123,365250,1284750,7922250
ED41597,83250,975000,9291000
FT135502,20250,375000,3402750
RT208712,137250,835500,5574750
ED122113,240000,1607250,10094250
XC126206,36000,945750,8718750
KJ178659,5250,49500,1164750
FT159910,360750,1589250,8796000
RT3375,3750,253500,4126500
KJ100450,411750,1566000,8779500
RT99050,68250,254250,2814000
VL97411,27750,399000,5190750
RT197231,141000,705750,6536250
XC81279,323250,1216500,6093750
ED102868,6750,13500,27000
RY63690,136500,1131000,8179500
VL107236,247500,963000,4827000
AR84890,8250,56250,1053750
KJ55280,1500,43500,872250
RT127637,80250,680250,6743250
AR4389,163500,761250,6207750
RT103421,329250,1115250,5674500
RY150673,351000,1432500,7989750
RY30324,177750,1028250,8493750
XC197577,114000,677250,5291250
FT59382,150750,774750,5529000
RY39492,6000,45750,1886250
ED209048,318000,1185000,6405000
VL102712,138000,683250,5704500
VL96791,219750,1123500,7217250
AR98847,136500,496500,5361750
VL178091,35250,246750,1310250
FT13553,83250,333000,3783000
KJ137594,282000,1190250,5589750
VL103523,51000,447750,3985500
FT114969,399750,1505250,8476500
KJ140825,3750,351000,2766750
KJ199693,84750,616500,4407000
KJ41891,224250,1218000,5707500
RT41307,133500,580500,3001500
RT96667,223500,1197000,5248500
ED146405,9750,111000,1213500
ED505,83250,556500,4491750
KJ194554,115500,417750,2052750
KJ196231,432750,1875750,10026750
VL115065,24000,251250,3337500
XC177350,198000,1241250,7764750
XC219607,6750,194250,2079750
KJ44336,205500,869250,4110000
RT18932,275250,1356750,7708500
RT149117,318000,1840500,9406500
RT53616,7500,125250,2025000
RT174636,131250,718500,6189000
RT30410,152250,983250,7145250
VL181269,48000,279000,1642500
XC61501,72750,498000,3834000
KJ169139,324750,1082250,5050500
AR182032,2250,98250,2253000
ED210594,20250,192750,2850750
RY2566,2250,250500,2892750
VL208998,51750,193500,2395500
RY141909,23250,466500,3997500
RY21034,24000,432000,5137500
VL99383,3750,15750,1097250
ED44716,284250,1424250,7422000
RT158057,238500,899250,5869500
RY102028,298500,1033500,5803500
VL27984,4500,9000,707250
XC84697,50250,520500,4362000
XC170922,24000,421500,3983250
XC48290,374250,1523250,7755750
VL205645,6750,103500,1490250
VL29506,463500,1808250,8340000
RT4347,10500,32250,691500
FT147382,213750,1182750,8082000
XC88323,42750,240750,2633250
RT93467,192750,759000,5268750
AR80204,5250,49500,2499000
RT215491,5250,245250,2730750
XC25115,37500,267750,3158250
ED199251,173250,843750,3663750
FT39579,3750,39000,2436000
FT97610,351750,1344000,6704250
KJ115320,39000,185250,1613250
ED170688,4500,9000,508500
KJ151529,104250,351000,3068250
AR197379,12000,24000,519750
XC115356,154500,633750,3365250
KJ57898,144000,603000,2837250
VL118543,31500,214500,2738250
XC20715,212250,659250,3106500
FT165296,750,597000,4671750
KJ63036,505500,1928250,8586000
RY41467,200250,867750,4336500
AR9327,31500,227250,2676000
FT159764,48000,726000,4716750
FT173441,749250,3100500,11223750
RY52505,353250,1361250,5286000
RY7381,784500,3247500,12736500
XC65752,138750,771750,4892250
AR203853,275250,1517250,8219250
FT156829,45000,216000,3370500
VL138376,352500,1682250,9257250
KJ140790,101250,712500,4722000
RT91549,4500,123750,2208000
VL195378,13500,209250,3006750
XC210984,4500,9000,552000
KJ93332,144000,928500,5827500
RY94784,5250,10500,66750
AR165357,46500,311250,1639500
AR185090,107250,572250,2907000
ED109208,172500,923250,6458250
AR92057,7500,106500,1403250
RT190206,69000,184500,1854000
RY156035,48750,385500,2997000
XC206319,195750,1160250,5935500
XC49434,8250,99000,1583250
XC151621,246000,810750,3998250
FT186318,39000,271500,2369250
VL32853,1500,6000,1116750
ED181061,2250,4500,573000
ED67032,30000,153000,2288250
RY10912,24000,114750,1043250
VL114732,120750,779250,3549750
FT55470,9750,228750,2053500
RT19493,12750,369000,3172500
RT79476,225000,837000,4857750
VL24101,63000,337500,3414000
VL37774,6000,105750,1839000
XC157963,9750,94500,815250
ED204359,69000,187500,1923000
RY75948,609750,2302500,9638250
KJ84383,269250,1174500,6635250
RT189582,86250,429750,3059250
AR69986,63000,329250,1979250
ED116440,165750,664500,3666750
FT99904,56250,228750,1740000
XC193440,3000,8250,18750
ED196952,3750,80250,1163250
ED10010,4500,69750,1636500
VL160332,53250,402750,3072000
XC134773,10500,248250,2994750
XC2462,18750,135750,1555500
FT86398,36750,226500,2037750
XC152493,6750,20250,371250
ED203502,58500,301500,1958250
FT206243,12750,140250,1641750
KJ153694,63000,443250,3251250
ED162443,159000,684000,3951000
AR140836,120750,543750,3525750
RY20709,33750,436500,4029750
RT200807,3000,6000,756000
RY197912,3750,129000,1558500
XC40041,201750,874500,5814000
FT118030,7500,66000,1157250
FT147607,70500,399000,2303250
RY27016,27750,220500,2294250
VL192031,143250,555750,3252750
VL111045,249750,681000,3963000
XC210210,220500,1056000,5273250
VL186828,49500,343500,2844000
VL219905,15000,80250,415500
KJ7079,201750,711000,3230250
RT162721,180750,741750,4580250
VL75323,7500,108000,1330500
VL56511,25500,231000,2629500
ED192915,131250,455250,2330250
KJ27488,44250,238500,903750
KJ74628,159000,474750,1719000
AR204336,19500,81000,827250
FT202730,15750,270750,2327250
RT139177,223500,1009500,4905750
RT35768,153000,1065750,5277750
RT46103,3000,98250,1502250
XC128788,108000,451500,1981500
XC169313,3000,14250,234750
RT201632,4500,96000,1250250
RT69751,53250,422250,3480750
VL117583,54750,382500,2846250
XC117156,5250,137250,2026500
RY126009,111000,630000,4188000
VL16898,6000,12000,200250
RT57250,51000,192750,1769250
FT23051,750,30750,461250
RT218005,23250,168000,1294500
KJ78577,17250,45000,860250
RY125487,49500,220500,1757250
ED64829,151500,801750,5489250
VL47379,87000,719250,5578500
AR148083,4500,9000,101250
FT155374,9750,167250,2478000
RT75754,5250,504750,5721750
XC165256,471750,2071500,12600750
ED49318,138750,571500,5307750
RT116105,717750,2949750,14271000
RT56291,5250,10500,1470000
RT69686,116250,1465500,9021750
AR60094,6000,209250,2615250
RT131631,189000,785250,3898500
RT150598,161250,1398750,10332000
RY87518,336750,1462500,8493750
VL168234,184500,1016250,7601250
FT128612,159750,983250,8764500
RY13633,54750,534750,4659000
FT113010,201000,939000,7985250
XC46506,1500,232500,3648750
ED119673,7500,329250,3710250
ED48724,127500,663000,5310750
RY14610,76500,1191000,9405750
KJ76381,8250,72750,1239750
VL21197,43500,423000,6796500
RT2607,154500,543000,3513000
RY69217,135000,1438500,10332750
RY211377,4500,56250,2279250
VL98179,14250,204750,3459750
KJ204887,181500,1512000,10599750
RT175999,76500,287250,2673750
XC33331,3000,73500,3720000
KJ116653,3750,64500,1062000
FT13127,4500,147000,3667500
FT33982,87000,624000,4173000
RT123723,279000,1236750,6275250
XC187490,5250,132000,1662000
ED209919,447000,2789250,16212000
ED52484,142500,1050000,8302500
FT153445,180750,889500,4689000
RT67260,6750,13500,74250
FT116561,98250,1007250,7725000
FT23386,750,1500,881250
VL151274,47250,644250,6172500
VL159956,417000,1308750,6552750
AR5138,426750,2007750,10139250
KJ212547,306750,1871250,11885250
AR149454,8250,16500,230250
AR64433,516750,2343750,11685750
VL188520,26250,528000,5022000
VL59428,8250,293250,4371750
ED65757,32250,135750,2491500
RT124490,2250,11250,348750
RY52298,37500,587250,4986000
ED212957,4500,209250,3487500
ED148376,268500,1033500,6646500
KJ169362,165000,780000,6363750
ED129297,330000,1369500,7635750
FT42780,13500,155250,2763000
KJ130256,6750,159000,5014500
VL94331,12750,445500,5397000
KJ134581,249750,778500,4075500
AR214605,285000,1254000,7554000
AR4593,750,1500,500250
FT135981,210000,1641000,10674750
FT211407,750,27000,665250
AR196342,261750,915750,6647250
XC12836,111750,1012500,7851000
RT188111,58500,284250,4547250
RT42000,1500,3000,165000
XC43857,1500,6750,1500000
FT462,480750,1933500,8826000
AR115882,3000,6000,897000
XC64050,49500,252750,3549750
XC86633,309000,1437000,8420250
RY214032,133500,649500,5756250
VL86146,5250,546750,5581500
ED219005,152250,1425000,10557000
FT129358,6000,232500,1931250
AR16179,225000,846000,4829250
ED114269,6750,13500,965250
RY168040,6750,84750,2169000
AR140336,17250,510000,5852250
KJ11874,750,42750,2107500
XC114357,99750,753750,4364250
XC195489,222750,1803750,10840500
AR135889,7500,38250,901500
VL52821,164250,951750,5780250
RY174480,95250,630750,5280000
FT26148,348750,1857000,9337500
RT115822,52500,692250,4612500
XC137785,183750,819000,4369500
ED20243,141000,471000,3777000
FT121884,43500,258000,3095250
VL47846,102000,627000,4512000
AR101563,138000,652500,4581000
AR190219,3000,175500,3713250
RT147189,46500,481500,4746000
RT66993,42750,180750,2511750
XC137001,21000,354750,5007750
KJ151105,6000,42750,1101000
RY128068,21750,162000,2374500
XC13608,6000,15000,1256250
KJ7480,144000,637500,4353000
ED106492,26250,231750,2709750
KJ75666,41250,474000,4116000
RT46170,247500,964500,7404750
KJ45394,86250,491250,4498500
RT76176,264750,873750,4581000
FT84762,431250,1805250,8757000
KJ140748,88500,395250,4159500
XC41529,9750,203250,2298000
KJ127448,18000,438000,3432750
RY4032,48750,446250,3487500
AR132093,89250,677250,5868000
VL126989,258000,1023000,4629750
FT196891,195000,1215750,6873000
VL11807,372750,1722000,9762000
VL77401,307500,1254000,6669750
VL28114,449250,1471500,6669000
RT78064,6750,123750,1152000
RT164363,3750,225000,2034750
RT212984,750,42750,2043750
AR216108,33750,269250,2839500
ED172271,10500,25500,453000
RT160416,331500,1416000,7564500
RT180058,10500,308250,3153750
RT78413,75750,773250,5379750
VL56448,93750,583500,3228000
XC128521,7500,327000,2907000
AR174268,24000,198750,3069750
VL102730,72750,372000,3348000
AR1837,272250,1139250,5418750
KJ177451,1500,3000,352500
RT61573,135000,818250,3707250
AR153398,329250,1412250,6918750
AR165,566250,2268000,9074250
AR86345,362250,1258500,5780250
ED173900,27000,239250,2256750
RY86025,2250,378000,4377750
VL184908,3000,328500,3166500
ED96993,182250,1126500,6908250
VL17134,3750,7500,207000
AR97686,474000,1965750,8406000
RY182888,30750,188250,1590750
AR60741,6000,12000,606000
RT109582,51750,505500,4148250
RY51664,149250,703500,4548000
XC65117,12000,387000,3106500
ED499,136500,933750,5116500
KJ38691,8250,149250,2680500
RT193602,225000,1170750,6605250
FT170404,345000,1071750,5855250
RY130478,1500,244500,2864250
RT50125,9750,19500,167250
RY37999,69000,653250,4735500
ED144111,140250,483750,2621250
ED163115,4500,288750,3180000
RT21616,232500,1218750,5694750
ED29595,692250,2433750,9654000
RY104690,6000,12000,350250
VL213253,141750,661500,4254750
VL5634,6000,12000,83250
ED162333,363750,1281750,5347500
VL42198,38250,358500,3636000
RY164214,1500,54000,1013250
RY24589,1500,129000,1879500
XC59582,196500,666750,3626250
AR189983,45000,133500,1036500
AR217200,59250,420750,3183750
AR9895,6750,413250,3363000
FT147611,90750,646500,4251000
VL208374,92250,696750,3825750
XC10495,144000,729750,3813750
ED106706,172500,603000,3270750
XC78997,72750,345750,3301500
ED105213,105750,378000,2858250
ED32201,158250,1020750,5630250
FT75209,117750,666000,3151500
ED127909,6000,219750,1704750
ED143248,20250,192750,1435500
FT53234,6000,102750,1449000
RY38920,6000,44250,1043250
RT32143,6750,13500,111750
RY205474,18750,432000,3114750
KJ56109,750,158250,2289000
RT68246,259500,864750,4337250
AR166918,27750,192000,1151250
RT17644,7500,15000,274500
VL103026,154500,762750,4003500
VL21740,148500,462000,2682000
RY63919,83250,412500,2124750
VL50933,261000,1111500,5390250
XC201204,3000,6000,468750
AR120070,3750,7500,77250
XC58286,105750,720000,4264500
FT31919,110250,630750,3852750
KJ79905,70500,324750,2688750
VL108032,132000,640500,4159500
VL83672,73500,438000,2479500
RY201325,60750,220500,1818750
VL54179,159750,946500,5595750
XC48419,63750,491250,4046250
FT74366,22500,258000,1689750
ED15701,63000,348000,1852500
ED174815,4500,52500,609750
FT149143,35250,144000,1510500
